support,itemsets
0.9736,frozenset({'isFraud=0'})
0.7588,frozenset({'Card1=card1_other'})
0.73945,"frozenset({'isFraud=0', 'Card1=card1_other'})"
0.6531,frozenset({'DeviceType=missing'})
0.6403,"frozenset({'DeviceType=missing', 'isFraud=0'})"
0.6288,"frozenset({'DeviceType=missing', 'ProductCD=W'})"
0.6288,frozenset({'ProductCD=W'})
0.6171,"frozenset({'isFraud=0', 'ProductCD=W'})"
0.6171,"frozenset({'DeviceType=missing', 'isFraud=0', 'ProductCD=W'})"
0.5037,"frozenset({'DeviceType=missing', 'Card1=card1_other'})"
0.49475,"frozenset({'DeviceType=missing', 'isFraud=0', 'Card1=card1_other'})"
0.48705,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Card1=card1_other'})"
0.48705,"frozenset({'ProductCD=W', 'Card1=card1_other'})"
0.47895,"frozenset({'isFraud=0', 'ProductCD=W', 'Card1=card1_other'})"
0.47895,"frozenset({'DeviceType=missing', 'isFraud=0', 'ProductCD=W', 'Card1=card1_other'})"
0.4055,frozenset({'Hour=Hour_18_23'})
0.3946,"frozenset({'isFraud=0', 'Hour=Hour_18_23'})"
0.37865,frozenset({'Amt=Amt_Low'})
0.3702,"frozenset({'Amt=Amt_Low', 'isFraud=0'})"
0.35605,frozenset({'Email=gmail.com'})
0.34335,"frozenset({'isFraud=0', 'Email=gmail.com'})"
0.34205,frozenset({'Amt=Amt_High'})
0.33235,"frozenset({'isFraud=0', 'Amt=Amt_High'})"
0.30775,"frozenset({'Hour=Hour_18_23', 'Card1=card1_other'})"
0.2998,"frozenset({'isFraud=0', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.29965,frozenset({'Hour=Hour_12_17'})
0.29295,"frozenset({'isFraud=0', 'Hour=Hour_12_17'})"
0.28575,"frozenset({'Amt=Amt_Low', 'Card1=card1_other'})"
0.2793,frozenset({'Amt=Amt_Med'})
0.27895,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'Card1=card1_other'})"
0.27315,"frozenset({'DeviceType=missing', 'Hour=Hour_18_23'})"
0.27105,"frozenset({'isFraud=0', 'Amt=Amt_Med'})"
0.26935,"frozenset({'DeviceType=missing', 'Amt=Amt_High'})"
0.2676,"frozenset({'DeviceType=missing', 'isFraud=0', 'Hour=Hour_18_23'})"
0.26735,"frozenset({'Email=gmail.com', 'Card1=card1_other'})"
0.26615,"frozenset({'ProductCD=W', 'Amt=Amt_High'})"
0.26615,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Amt=Amt_High'})"
0.26335,"frozenset({'DeviceType=missing', 'isFraud=0', 'Amt=Amt_High'})"
0.26215,"frozenset({'ProductCD=W', 'Hour=Hour_18_23'})"
0.26215,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Hour=Hour_18_23'})"
0.26025,"frozenset({'DeviceType=missing', 'isFraud=0', 'ProductCD=W', 'Amt=Amt_High'})"
0.26025,"frozenset({'isFraud=0', 'ProductCD=W', 'Amt=Amt_High'})"
0.25845,"frozenset({'Amt=Amt_High', 'Card1=card1_other'})"
0.25815,frozenset({'Hour=Hour_0_5'})
0.25725,"frozenset({'isFraud=0', 'Email=gmail.com', 'Card1=card1_other'})"
0.25705,"frozenset({'DeviceType=missing', 'isFraud=0', 'ProductCD=W', 'Hour=Hour_18_23'})"
0.25705,"frozenset({'isFraud=0', 'ProductCD=W', 'Hour=Hour_18_23'})"
0.2524,"frozenset({'isFraud=0', 'Amt=Amt_High', 'Card1=card1_other'})"
0.25055,"frozenset({'isFraud=0', 'Hour=Hour_0_5'})"
0.2374,frozenset({'DeviceType=desktop'})
0.2369,"frozenset({'DeviceType=missing', 'Email=gmail.com'})"
0.23145,"frozenset({'DeviceType=missing', 'isFraud=0', 'Email=gmail.com'})"
0.2304,"frozenset({'isFraud=0', 'DeviceType=desktop'})"
0.22945,"frozenset({'ProductCD=W', 'Email=gmail.com'})"
0.22945,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Email=gmail.com'})"
0.22775,"frozenset({'Card1=card1_other', 'Hour=Hour_12_17'})"
0.22445,"frozenset({'isFraud=0', 'ProductCD=W', 'Email=gmail.com'})"
0.22445,"frozenset({'DeviceType=missing', 'isFraud=0', 'ProductCD=W', 'Email=gmail.com'})"
0.22275,"frozenset({'isFraud=0', 'Card1=card1_other', 'Hour=Hour_12_17'})"
0.2146,"frozenset({'Amt=Amt_Med', 'Card1=card1_other'})"
0.2097,"frozenset({'DeviceType=missing', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.2081,"frozenset({'isFraud=0', 'Amt=Amt_Med', 'Card1=card1_other'})"
0.20605,"frozenset({'DeviceType=missing', 'isFraud=0', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.2038,"frozenset({'DeviceType=missing', 'Amt=Amt_High', 'Card1=card1_other'})"
0.2025,"frozenset({'Amt=Amt_Low', 'DeviceType=missing'})"
0.20235,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.20235,"frozenset({'ProductCD=W', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.2016,"frozenset({'ProductCD=W', 'Amt=Amt_High', 'Card1=card1_other'})"
0.2016,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Amt=Amt_High', 'Card1=card1_other'})"
0.2005,"frozenset({'DeviceType=missing', 'isFraud=0', 'Amt=Amt_High', 'Card1=card1_other'})"
0.19955,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'DeviceType=missing'})"
0.19905,"frozenset({'ProductCD=W', 'Card1=card1_other', 'DeviceType=missing', 'isFraud=0', 'Hour=Hour_18_23'})"
0.19905,"frozenset({'isFraud=0', 'ProductCD=W', 'Hour=Hour_18_23', 'Card1=card1_other'})"
0.1984,"frozenset({'ProductCD=W', 'Card1=card1_other', 'Amt=Amt_High', 'DeviceType=missing', 'isFraud=0'})"
0.1984,"frozenset({'isFraud=0', 'ProductCD=W', 'Amt=Amt_High', 'Card1=card1_other'})"
0.1966,"frozenset({'Card1=card1_other', 'Hour=Hour_0_5'})"
0.1938,"frozenset({'DeviceType=missing', 'Hour=Hour_12_17'})"
0.19095,"frozenset({'isFraud=0', 'Card1=card1_other', 'Hour=Hour_0_5'})"
0.1903,"frozenset({'DeviceType=missing', 'isFraud=0', 'Hour=Hour_12_17'})"
0.18795,"frozenset({'Amt=Amt_Low', 'ProductCD=W'})"
0.18795,"frozenset({'Amt=Amt_Low', 'ProductCD=W', 'DeviceType=missing'})"
0.1864,"frozenset({'ProductCD=W', 'Hour=Hour_12_17'})"
0.1864,"frozenset({'DeviceType=missing', 'ProductCD=W', 'Hour=Hour_12_17'})"
0.1858,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'ProductCD=W', 'DeviceType=missing'})"
0.1858,"frozenset({'Amt=Amt_Low', 'isFraud=0', 'ProductCD=W'})"
0.18325,"frozenset({'isFraud=0', 'ProductCD=W', 'Hour=Hour_12_17'})"
0.18325,"frozenset({'DeviceType=missing', 'isFraud=0', 'ProductCD=W', 'Hour=Hour_12_17'})"
0.1821,"frozenset({'DeviceType=missing', 'Email=gmail.com', 'Card1=card1_other'})"
0.18125,"frozenset({'DeviceType=missing', 'Amt=Amt_Med'})"
