antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'isFraud=0', 'Hour=Hour_18_23', 'ProductCD=S'})","frozenset({'Card1=card1_other', 'DeviceType=desktop', 'Email=missing'})",0.00965,0.0175,0.0062,0.6424870466321243,36.71354552183567,1.0,0.006031125,2.7481521739130432,0.9822407197194867,0.29594272076372313,0.6361191314321876,0.49838638045891925
"frozenset({'Hour=Hour_18_23', 'ProductCD=S'})","frozenset({'Card1=card1_other', 'DeviceType=desktop', 'Email=missing', 'isFraud=0'})",0.00985,0.0172,0.0062,0.6294416243654822,36.59544327706292,1.0,0.00603058,2.652213698630137,0.9823503444411322,0.29736211031175064,0.6229564757483539,0.494953370322276
"frozenset({'Hour=Hour_18_23', 'ProductCD=S'})","frozenset({'Card1=card1_other', 'DeviceType=desktop', 'Email=missing'})",0.00985,0.0175,0.0063,0.6395939086294417,36.54822335025381,1.0,0.006127625,2.726091549295775,0.9823146885713164,0.2992874109263658,0.6331744617093554,0.4997969543147208
"frozenset({'Hour=Hour_12_17', 'ProductCD=S'})","frozenset({'DeviceType=desktop', 'Email=missing', 'isFraud=0'})",0.00965,0.02295,0.00805,0.8341968911917098,36.34844841793942,1.0,0.0078285325,5.892832812499998,0.9819644664177012,0.32790224032586557,0.8303023296573459,0.5924797092124127
"frozenset({'isFraud=0', 'Hour=Hour_12_17', 'ProductCD=S'})","frozenset({'DeviceType=desktop', 'Email=missing'})",0.00955,0.02325,0.00805,0.8429319371727749,36.255137082699996,1.0,0.0078279625,6.218641666666669,0.9817938329682003,0.32525252525252535,0.8391931785746352,0.59458424815628
"frozenset({'isFraud=0', 'Hour=Hour_18_23', 'ProductCD=S'})","frozenset({'DeviceType=desktop', 'Amt=Amt_Low', 'Email=missing'})",0.00965,0.0166,0.0058,0.6010362694300517,36.20700418253324,1.0,0.0056398099999999994,2.464885714285714,0.9818559443456947,0.2836185819070904,0.5943016772727799,0.4752169298957487
"frozenset({'Hour=Hour_18_23', 'ProductCD=S'})","frozenset({'DeviceType=desktop', 'Amt=Amt_Low', 'Email=missing', 'isFraud=0'})",0.00985,0.0163,0.0058,0.5888324873096447,36.124692472984336,1.0,0.005639445,2.3924555555555553,0.9819907119610927,0.285012285012285,0.5820194035881312,0.47233035408427015
"frozenset({'isFraud=0', 'Hour=Hour_18_23', 'ProductCD=S'})","frozenset({'DeviceType=desktop', 'Email=missing'})",0.00965,0.02325,0.0081,0.8393782383419688,36.10228982115995,1.0,0.0078756375,6.081056451612898,0.9817750552086897,0.32661290322580644,0.8355548895233875,0.5938826675580812
"frozenset({'Hour=Hour_18_23', 'ProductCD=S'})","frozenset({'DeviceType=desktop', 'Amt=Amt_Low', 'Email=missing'})",0.00985,0.0166,0.0059,0.5989847715736041,36.0834199743135,1.0,0.0057364899999999995,2.4522759493670887,0.9819587342099338,0.2871046228710462,0.5922155496986009,0.477203229160296
"frozenset({'DeviceType=desktop', 'Amt=Amt_Low', 'Email=missing', 'Hour=Hour_12_17'})","frozenset({'isFraud=0', 'ProductCD=S'})",0.00535,0.0276,0.0053,0.9906542056074767,35.89326831911148,1.0,0.00515234,104.04680000000123,0.9773685443538023,0.19168173598553345,0.9903889403614529,0.5913415955573615
"frozenset({'Hour=Hour_12_17', 'ProductCD=S'})","frozenset({'DeviceType=desktop', 'Email=missing'})",0.00965,0.02325,0.00805,0.8341968911917098,35.87943618028859,1.0,0.0078256375,5.891023437499999,0.9816013348690641,0.323943661971831,0.8302502085402711,0.5902167251657474
"frozenset({'Hour=Hour_18_23', 'ProductCD=S'})","frozenset({'DeviceType=desktop', 'Email=missing', 'isFraud=0'})",0.00985,0.02295,0.0081,0.8223350253807107,35.83159151985667,1.0,0.0078739425,5.499395714285715,0.9817620225891701,0.3279352226720647,0.8181618395995196,0.5876381009256495
"frozenset({'Hour=Hour_18_23', 'ProductCD=S'})","frozenset({'DeviceType=desktop', 'Email=missing'})",0.00985,0.02325,0.0082,0.8324873096446702,35.80590579116861,1.0,0.0079709875,5.830901515151521,0.9817418031020183,0.32931726907630526,0.8284999330889892,0.5925877408438405
"frozenset({'DeviceType=desktop', 'Hour=Hour_12_17', 'Email=missing'})","frozenset({'isFraud=0', 'ProductCD=S'})",0.00815,0.0276,0.00805,0.9877300613496933,35.787321063394685,1.0,0.00782506,79.25060000000046,0.9800445055776004,0.29061371841155237,0.9873817990021527,0.63969836400818
"frozenset({'Card1=card1_other', 'DeviceType=desktop', 'Hour=Hour_12_17', 'Email=missing'})","frozenset({'isFraud=0', 'ProductCD=S'})",0.00585,0.0276,0.00575,0.9829059829059829,35.61253561253561,1.0,0.0055885399999999995,56.885399999999834,0.9776391892571543,0.20758122743682308,0.9824207969004348,0.5956196581196581
"frozenset({'Card1=card1_other', 'Hour=Hour_18_23', 'isFraud=0', 'ProductCD=S'})","frozenset({'DeviceType=desktop', 'Email=missing'})",0.0075,0.02325,0.0062,0.8266666666666667,35.55555555555556,1.0,0.006025625,5.6350961538461535,0.9792191435768262,0.2525458248472505,0.8225407388448085,0.5466666666666666
